Country,year,GDP,unemployment,population
Afghanistan,2014,20.616,7.91,32716210.0
Albania,2014,13.246,18.05,2889104.0
Algeria,2014,213.81,10.21,38760168.0
Andorra,2014,3.267,,71621.0
Angola,2014,145.712,9.58,27128337.0
Antigua and Barbuda,2014,1.25,,89236.0
Argentina,2014,563.614,7.27,42669500.0
Armenia,2014,11.61,11.862,2889930.0
Aruba,2014,2.791,,103594.0
Australia,2014,1456.6,6.08,23475686.0
Austria,2014,442.699,5.62,8546356.0
Azerbaijan,2014,75.24,4.91,9535079.0
The Bahamas,2014,11.176,,
Bahrain,2014,33.388,1.184,1311134.0
Bangladesh,2014,207.102,4.393,155961299.0
Barbados,2014,4.696,12.17,277493.0
Belarus,2014,78.736,5.996,9448515.0
Belgium,2014,535.529,8.52,11209057.0
Belize,2014,2.138,8.24,352335.0
Benin,2014,13.288,2.111,10614844.0
Bhutan,2014,1.784,2.63,736357.0
Bolivia,2014,33.237,2.02,10916987.0
Bosnia and Herzegovina,2014,18.522,27.52,3571068.0
Botswana,2014,15.47,18.894,2260376.0
Brazil,2014,2456.055,6.76,203459650.0
Brunei Darussalam,2014,17.098,6.86,416656.0
Bulgaria,2014,57.082,11.42,7223938.0
Burkina Faso,2014,13.947,4.206,18169842.0
Burundi,2014,2.706,1.57,10494913.0
Cabo Verde,2014,1.86,11.586,546076.0
Cambodia,2014,16.702,0.69,15210817.0
Cameroon,2014,36.396,3.53,22299585.0
Canada,2014,1805.751,6.91,35437435.0
Central African Republic,2014,1.896,5.577,4798734.0
Chad,2014,14.003,1.042,13697126.0
Chile,2014,259.394,6.65,17687108.0
China,2014,10524.241,4.63,1371860000.0
Colombia,2014,381.241,8.57,46677947.0
Comoros,2014,1.15,8.14,714612.0
Democratic Republic of the Congo,2014,38.355,,
Republic of the Congo,2014,17.918,,
Costa Rica,2014,52.017,8.5,4844288.0
Croatia,2014,59.231,17.29,4238389.0
Cyprus,2014,23.232,16.09,1176995.0
Czech Republic,2014,209.359,,
Cote d'Ivoire,2014,48.802,3.475,22995555.0
Denmark,2014,352.994,6.93,5643475.0
Djibouti,2014,2.215,26.51,989087.0
Dominica,2014,0.52,,69371.0
Dominican Republic,2014,67.264,6.72,10282115.0
Ecuador,2014,101.726,3.48,15957994.0
Egypt,2014,321.634,,
El Salvador,2014,22.593,4.15,6209526.0
Equatorial Guinea,2014,21.765,8.097,1295183.0
Eritrea,2014,2.604,5.678,3323425.0
Estonia,2014,26.641,7.35,1314545.0
Eswatini,2014,4.426,23.973,1125865.0
Ethiopia,2014,54.165,2.412,99746766.0
Fiji,2014,4.857,4.277,915560.0
Finland,2014,274.934,8.66,5461512.0
